CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,67
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,86
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,23
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,102
2018,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,101
2018,CA-517,Napa County CoC,18-24,68
2018,CA-517,Napa County CoC,25-34,179
2018,CA-517,Napa County CoC,35-44,174
2018,CA-517,Napa County CoC,45-54,180
2018,CA-517,Napa County CoC,55-64,180
2018,CA-517,Napa County CoC,65+,37
2018,CA-517,Napa County CoC,Under 18,138
2018,CA-517,Napa County CoC,Unknown,*
2018,CA-518,Solano County CoC,18-24,54
2018,CA-518,Solano County CoC,25-34,167
2018,CA-518,Solano County CoC,35-44,143
2018,CA-518,Solano County CoC,45-54,140
2018,CA-518,Solano County CoC,55-64,178
2018,CA-518,Solano County CoC,65+,52
2018,CA-518,Solano County CoC,Under 18,172
2018,CA-518,Solano County CoC,Unknown,*
2018,CA-519,Butte County CoC,18-24,120
2018,CA-519,Butte County CoC,25-34,270
2018,CA-519,Butte County CoC,35-44,244
2018,CA-519,Butte County CoC,45-54,236
2018,CA-519,Butte County CoC,55-64,217
2018,CA-519,Butte County CoC,65+,84
2018,CA-519,Butte County CoC,Under 18,318
2018,CA-519,Butte County CoC,Unknown,28
2018,CA-520,Merced County CoC,18-24,68
2018,CA-520,Merced County CoC,25-34,156
